------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
160,J0325+6744,slr+14,1.364678767282,15,lsk+18,1.553E-15,10,lsk+18
,,,,,,,,
161,J0329+1654,lxf+05,0.89332,0,dmo+24,2.1525E-16,6,lxf+05
162,B0329+54,cp68,0.714519699726,4,hlk+04,2.048265E-15,8,hlk+04
163,B0331+45,dtws85,0.26920054092953,13,hlk+04,7.3505E-18,10,hlk+04
164,J0335+6623,slr+14,1.76193424742,19,lsk+18,4.81E-15,10,lsk+18
165,J0337+1715,rsa+14,0.00273258863244,9,rsa+14,1.7666E-20,9,rsa+14
,,,,,,,,
166,J0337+79,kkl+15,2.05621,6,kkl+15,*,0,*
167,J0340+4130,wmg+22,0.003299339366490734,17,abb+18,7.0470E-21,12,abb+18
168,J0341+5711,hrk+08,1.888,0,hrk+08,*,0,*
169,J0343+06,mgf+19,1.00764,0,mgf+19,*,0,*
170,B0339+53,dth78,1.934478067294,15,hlk+04,1.342243E-14,15,hlk+04
,,,,,,,,
171,J0343-3000,bjd+06,2.59702715738,9,bjd+06,5.7E-17,9,bjd+06
172,J0344-0901,clh+20,1.226005572598,13,clh+20,3.4708E-15,16,clh+20
173,J0348+0432,lbr+13,0.0391226563571297,16,cpb+23,2.4128E-19,11,cpb+23
174,J0349+2340,scb+19,2.420771,0,dmo+24,1.0995E-15,7,mbc+20
175,J0355+28,mss+20,0.0943,0,dmo+24,*,0,*
,,,,,,,,
176,J0357+3205,aaa+09c,0.4441044988,6,rkp+11,1.3037E-14,20,rkp+11
177,B0353+52,dtws85,0.1970300980314,3,hlk+04,4.76594E-16,3,hlk+04
178,J0358+4155,slr+14,0.2264843322519,3,lsk+18,1.4583E-16,16,lsk+18
179,B0355+54,mth72,0.156384121559,8,lwy+16,4.39496E-15,5,lwy+16
180,J0358+6627,slr+14,0.09150578075475,17,lsk+18,1.089E-17,9,lsk+18
,,,,,,,,
181,J0359+5414,cwp+17,0.0794272322920,13,cwp+17,1.673360E-14,7,cwp+17
182,B0403-76,mlt+78,0.54525418661,3,lbs+20,1.54380E-15,12,lbs+20
183,J0402+4825,ccl+21,0.512194448731,3,ccl+21,2.755E-16,6,ccl+21
184,J0405+3347,spp+23,0.0639539494812,17,spp+23,1.64E-19,13,spp+23
185,J0406+30,mss+20,0.0026,0,mss+20,*,0,*
,,,,,,,,
186,J0406+3039,msk+24,0.00260865404023731,7,msk+24,8.3078E-21,6,msk+24
187,B0402+61,dth78,0.5945761650437,8,ywml10,5.57316E-15,3,ywml10
188,J0407+1607,lxf+05,0.025702,0,dmo+24,7.9E-20,3,lxf+05
189,J0408+551,hrk+08,1.837,0,hrk+08,*,0,*
190,J0408+552,hrk+08,0.754,0,hrk+08,*,0,*
,,,,,,,,
191,J0410-31,bbj+11,1.8785,2,bbj+11,*,0,*
192,J0413+58,hrk+08,0.687,0,hrk+08,*,0,*
193,J0414+31,mss+20,1.081,0,mss+20,*,0,*
194,J0415+6111,flm+23,0.440189416055,4,msk+24,5.013E-17,4,msk+24
195,B0410+69,dtws85,0.3907150899386,3,hlk+04,7.6601E-17,3,hlk+04
,,,,,,,,
196,J0417+35,cnst96,0.6544,0,dmo+24,*,0,*
197,J0417+61,slr+14,0.440283,13,slr+14,*,0,*
198,J0418+5732,vck+10,9.07838822,5,rip+13,4.10E-15,10,rip+13
199,J0418+6635,trr+21,0.00291018473,9,saa+23,1.3662E-20,9,saa+23
200,J0418-4154,bcm+16,0.757118945031,12,lbs+20,1.31944E-15,4,lbs+20
,,,,,,,,
201,J0419+44,hrk+08,1.241,0,hrk+08,*,0,*
202,J0420+4451,msk+24,1.241126275342,7,msk+24,5.9247E-16,7,msk+24
203,J0420-5022,hmz+04,3.453004027,12,kv11,2.759E-14,10,kv11
204,J0421+3255,ttol16,0.900105,0,dmo+24,6.0E-17,20,tbc+20
205,J0421-0345,mld+96,2.161308494552,15,hlk+04,1.16338E-15,15,hlk+04
,,,,,,,,
206,J0426+4933,hrk+08,0.922474730055,2,bck+13,3.93444E-14,2,bck+13
207,J0435+2749,rtj+96,0.3262794534509,14,bfrs18,8.17E-18,11,bfrs18
208,J0437-4715,jlh+93,0.005757451936712637,17,rhc+16,5.729215E-20,17,rhc+16
209,J0447+2447,crafts23,0.00299528235041382,9,wyw+23,7.996E-21,9,wyw+23
210,J0447-04,kkl+15,2.18819,2,kkl+15,*,0,*
,,,,,,,,
211,J0448-2749,lml+98,0.4504483308563,17,hlk+04,1.48347E-16,19,hlk+04
212,J0449-7031,mfl+06,0.479163971291,14,mfl+06,3.371E-15,4,mfl+06
213,B0447-12,mlt+78,0.4380141493906,8,hlk+04,1.02649E-16,6,hlk+04
214,J0451-67,mfl+06,0.24545429,7,mfl+06,0e-15,2,mfl+06
215,B0450-18,vlw69,0.548939223294,3,hlk+04,5.753107E-15,16,hlk+04
,,,,,,,,
216,J0452-3418,gbm+24,1.6651186770,10,gbm+24,2.775E-15,3,gbm+24
217,J0453+1559,dsm+13,0.045781816872951,4,msf+15,1.8612E-19,8,msf+15
218,J0454+4529,mhl+18,1.3891369360,4,tbc+20,4.888E-15,2,tbc+20
219,B0450+55,dth78,0.340729436235,10,hlk+04,2.37227E-15,7,hlk+04
220,B0456-69,mmh+91,0.320422711526,12,ckm+01,1.02119E-14,15,ckm+01
,,,,,,,,
221,J0456-69,rcl+13,0.117073051,15,rcl+13,*,0,*
222,J0456-7031,mfl+06,0.80013207321,10,mfl+06,3.670E-14,3,mfl+06
223,J0457+23,dsm+13,0.5049,0,dsm+13,*,0,*
224,J0457-6337,mfl+06,2.49701169613,19,mfl+06,2.1E-16,3,mfl+06
225,J0457-69,rcl+13,0.23139039,8,rcl+13,*,0,*
,,,,,,,,
226,J0458-0505,lbr+13,1.88347965849,18,lbr+13,5.3E-16,15,lbr+13
227,J0458-67,rcl+13,1.1339000,18,rcl+13,*,0,*
228,J0459-0210,mld+96,1.133076123659,6,hlk+04,1.39825E-15,6,hlk+04
229,J0501+4516,gwk08,5.76209653,4,gwk+10,5.82E-12,3,gwk+10
230,B0458+46,dth78,0.638565481517,3,hlk+04,5.582339E-15,17,hlk+04
,,,,,,,,
231,B0502-66,mmh+91,0.69125141818,4,ckm+01,2.3090E-14,6,ckm+01
232,J0506+50,qpl+19,0.00339,0,aab+22,*,0,*
233,J0509+0856,mgf+19,0.0040558382315644,5,mgf+19,4.412E-21,12,mgf+19
234,J0509+37,tkt22,2.4961,0,tkt22,*,0,*
235,J0509+3801,slr+14,0.07654134872199,12,lsk+18,7.931E-18,3,lsk+18
,,,,,,,,
236,J0511-6508,mfl+06,0.322061827468,8,mfl+06,2.06E-16,4,mfl+06
237,J0514-4002A,fgri04,0.004990575114112,3,rfgr19,7.0E-22,13,rfgr19
238,J0514-4002B,rfg+22,0.0028163,0,rfg+22,*,0,*
239,J0514-4002C,rfg+22,0.0055648,0,rfg+22,*,0,*
240,J0514-4002D,rfg+22,0.0045544,0,rfg+22,*,0,*
,,,,,,,,
241,J0514-4002E,rfg+22,0.00559594741810,3,bdf+24,-2.3E-30,7,bdf+24
242,J0514-4002F,rfg+22,0.0043294,0,rfg+22,*,0,*
243,J0514-4002G,rfg+22,0.0038028,0,rfg+22,*,0,*
244,J0514-4002H,rfg+22,0.0055061,0,rfg+22,*,0,*
245,J0514-4002I,rfg+22,0.0326542,0,rfg+22,*,0,*
,,,,,,,,
246,J0514-4002J,rfg+22,0.0066329,0,rfg+22,*,0,*
247,J0514-4002K,rfg+22,0.0046920,0,rfg+22,*,0,*
248,J0514-4002L,rfg+22,0.0029588,0,rfg+22,*,0,*
249,J0514-4002M,rfg+22,0.0047978,0,rfg+22,*,0,*
250,J0514-4002N,rfg+22,0.0055679,0,rfg+22,*,0,*
,,,,,,,,
251,J0514-4408,bcm+16,0.3202708224090,7,brs+19,2.042031E-15,11,brs+19
252,J0517+2212,cha03,0.2223665151982,7,bfrs18,1.16047E-17,15,bfrs18
253,J0518+2431,crafts23,2.636939736628,7,wyw+23,6.86E-16,4,wyw+23
254,J0518+5125,scb+19,0.912511685262,8,mbc+20,1.910E-16,10,mbc+20
255,J0518+5416,slr+14,0.340202651600,6,lsk+18,1.676E-15,4,lsk+18
,,,,,,,,
256,J0519+44,hrk+08,0.515,0,hrk+08,*,0,*
257,J0519-6932,mfl+06,0.263211634568,3,mfl+06,6.968E-16,5,mfl+06
258,J0520-2553,lml+98,0.2416421756731,7,hlk+04,3.0092E-17,9,hlk+04
259,J0521-68,rcl+13,0.4334207,3,rcl+13,*,0,*
260,J0522-6847,mfl+06,0.67453190906,3,mfl+06,1.7727E-14,14,mfl+06
,,,,,,,,
261,J0523-7125,wmk+22,0.3225,0,wmk+22,*,0,*
