------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
2770,J1900-0051,hfs+04,0.385194094862,6,hfs+04,1.421E-16,9,hfs+04
,,,,,,,,
2771,J1900-0134,qpl+19,1.83233207264,3,clh+20,3.0490E-14,5,clh+20
2772,J1900-0152g,zhx+23,1.384,6,zhx+23,*,0,*
2773,J1900-0933,bbb+12,1.423889144409,19,bsb+19,2.263E-16,9,bsb+19
2774,B1857-26,vl70,0.6122092044383,7,hlk+04,2.04534E-16,5,hlk+04
2775,B1851-79,mlt+78,1.2791931935,6,nmc81,1.86E-15,3,nmc81
,,,,,,,,
2776,J1901+00,cnst96,0.777662,4,hww+21,*,0,*
2777,J1901+0020g,hww+21,0.21481,0,hww+21,*,0,*
2778,J1901+0124,hfs+04,0.318817259335,11,hfs+04,3.241E-15,4,hfs+04
2779,B1859+01,stwd85,0.2882191593441,10,hlk+04,2.357457E-15,11,hlk+04
2780,J1901+0234,lbh+15,0.88524028123,4,lsb+17,2.3034E-14,4,lsb+17
,,,,,,,,
2781,J1901+0254,hfs+04,1.2996934495,3,hfs+04,4.6E-16,11,hfs+04
2782,J1901+0300,skl+15,0.007796776259722,4,skl+15,4.571E-20,13,skl+15
2783,J1901+0315g,hww+21,0.81982,0,hww+21,*,0,*
2784,J1901+0320,hfs+04,0.63658447822,8,hfs+04,5.2E-16,3,hfs+04
2785,B1859+03,dlp70,0.65545023949,4,hlk+04,7.4593E-15,4,hlk+04
,,,,,,,,
2786,J1901+0355,hfs+04,0.55475646483,3,hfs+04,1.2741E-14,10,hfs+04
2787,J1901+0413,mhl+02,2.6630796830,8,mhl+02,1.316E-13,3,mhl+02
2788,J1901+0435,lfl+06,0.6905763581,3,lfl+06,8.67E-15,3,lfl+06
2789,J1901+0459,lbh+15,0.87704381015,6,lsb+17,1.5682E-14,2,lsb+17
2790,J1901+0510,hfs+04,0.61475669408,12,hfs+04,3.110E-14,4,hfs+04
,,,,,,,,
2791,J1901+0511,lsb+17,4.6003689902,4,lsb+17,2.5338E-14,15,lsb+17
2792,J1901+0621,cfl+06,0.83200194892,5,lfl+06,1.8E-17,3,lfl+06
2793,J1901+0658,shy+24,0.07574385040530,6,shy+24,2.169E-19,6,shy+24
2794,J1901+0659g,hww+21,0.07573,0,hww+21,*,0,*
2795,J1901+0712g,hww+21,1.03771,0,hww+21,*,0,*
,,,,,,,,
2796,B1859+07,cjlm87,0.64399866351,4,hlk+04,2.2872E-15,3,hlk+04
2797,J1901+13,sbb+23,740.95209e-3,0,mmr+24,*,0,*
2798,J1901+1306,nft95,1.8308574530,2,cn95,1.31E-16,11,cn95
2799,J1901-0125,aab+22,0.0027933649560078,4,saa+23,3.5761E-20,7,saa+23
2800,J1901-0312,hfs+04,0.355725186569,14,hfs+04,2.292E-15,6,hfs+04
,,,,,,,,
2801,J1901-0315,lfl+06,0.80169309688,11,lfl+06,2.57E-15,4,lfl+06
2802,J1901-0906,lml+98,1.781927762343,5,hlk+04,1.63829E-15,5,hlk+04
2803,J1901-1740,ebvb01,1.95685759005,16,ebvb01,8.23E-16,16,ebvb01
2804,J1902+0235,lbh+15,0.415394227732,2,psf+22,9.48E-17,2,psf+22
2805,J1902+0248,hfs+04,1.22377745359,17,hfs+04,2.41E-15,3,hfs+04
,,,,,,,,
2806,B1900+05,ht74,0.7465773564336,17,hlk+04,1.2875164E-14,12,hlk+04
2807,J1902+0557g,zhx+23,*,0,*,*,0,*
2808,B1900+06,lh81,0.673505459244,19,lbs+20,7.71023E-15,5,lbs+20
2809,J1902+0723,nft95,0.4878126283,2,cn95,2.10E-16,5,cn95
2810,J1902+0809g,hww+21,0.19023,0,hww+21,*,0,*
,,,,,,,,
2811,J1902+1141,psf+22,0.40914018296,6,psf+22,2.59192E-15,13,psf+22
2812,J1902-0340,hfs+04,1.5246721060,4,hfs+04,2.00E-15,17,hfs+04
2813,J1902-1036,bbb+12,0.786813538431,8,bsb+19,7.53681E-15,19,bsb+19
2814,J1902-5105,kcj+12,0.00174239994990564,16,ckr+15,9.1993E-21,13,ckr+15
2815,B1900+01,dls73,0.729306960746,3,jbv+19,4.0250E-15,3,jbv+19
,,,,,,,,
2816,J1903+0319g,zhx+23,1.854,3,zhx+23,*,0,*
2817,J1903+0327,crl+08,0.00214991236434921,5,fbw+11,1.88208E-20,10,fbw+11
2818,J1903+0415,lbh+15,1.15139859175,13,psf+22,2.268E-16,5,psf+22
2819,J1903+0433g,hww+21,14.0499,0,hww+21,*,0,*
2820,J1903+0534g,hww+21,0.35765,0,hww+21,*,0,*
,,,,,,,,
2821,J1903+0601,hfs+04,0.374117028251,5,hfs+04,1.92039E-14,3,hfs+04
2822,J1903+0654,lsb+17,0.79123225301,7,lsb+17,1.0595E-14,4,lsb+17
2823,J1903+0839g,hww+21,0.00462,0,hww+21,*,0,*
2824,J1903+0845g,hww+21,0.15315026786280,10,shw+23,9.1961E-17,7,shw+23
2825,J1903+0851g,hww+21,1.231881983120,10,shw+23,2.71523E-14,5,shw+23
,,,,,,,,
2826,J1903+0912,psf+22,0.166314477824,3,psf+22,1.48383E-14,2,psf+22
2827,J1903+0925,lfl+06,0.35715482026,9,lfl+06,3.6899E-14,13,lfl+06
2828,J1903+2225,nft95,0.65118538418,14,cn95,4.45E-16,10,cn95
2829,J1903-0258,lfl+06,0.301458774079,6,lfl+06,6.791E-16,6,lfl+06
2830,B1900-06,dls72,0.431889308744,15,lbs+20,3.38071E-15,8,lbs+20
,,,,,,,,
2831,J1903-0848,blr+13,0.88732464056,4,blr+13,1.330E-15,2,blr+13
2832,J1903-7051,ckr+15,0.0035978980188911,11,ckr+15,1.043E-20,6,ckr+15
2833,J1904+0004,mld+96,0.1395246665887,12,lwy+16,1.1805E-16,3,lwy+16
2834,J1904+0056,psf+22,0.43808945697,2,psf+22,4.0E-18,30,psf+22
2835,J1904+0207g,hww+21,0.00504,0,hww+21,*,0,*
,,,,,,,,
2836,J1904+0358g,hww+21,0.75154,0,hww+21,*,0,*
2837,J1904+0412,clm+01,0.0710948973807,3,clm+01,1.1E-19,3,clm+01
2838,J1904+0415g,hww+21,0.23145,0,hww+21,*,0,*
2839,J1904+0451,skl+15,0.006092367929630,4,skl+15,5.7E-21,3,skl+15
2840,J1904+0519g,hww+21,1.68053,0,hww+21,*,0,*
,,,,,,,,
2841,J1904+0535g,hww+21,0.60376,0,hww+21,*,0,*
2842,J1904+0553g,hww+21,0.00491,0,hww+21,*,0,*
2843,J1904+0603g,hww+21,1.97493,0,hww+21,*,0,*
2844,J1904+0621g,zhx+23,1.232,3,zhx+23,*,0,*
2845,J1904+0738,cfl+06,0.2089583321216,2,nab+13,4.10898E-16,7,nab+13
,,,,,,,,
2846,J1904+0800,kbm+03,0.263344725870,9,kbm+03,1.7317E-14,3,kbm+03
2847,J1904+0823g,hww+21,1.50773,0,hww+21,*,0,*
2848,J1904+0836g,hww+21,0.00444,0,hww+21,*,0,*
2849,J1904+0852g,hww+21,0.0061974296377438,4,shw+23,1.009E-20,3,shw+23
2850,B1901+10,ht75b,1.85656971650,7,lcx02,2.76E-16,8,lcx02
,,,,,,,,
2851,J1904+33,mss+20,0.417,0,mss+20,*,0,*
2852,J1904-0150,lfl+06,0.379387161967,6,lfl+06,8.898E-16,8,lfl+06
2853,J1904-11,trr+21,0.00262,0,aab+22,*,0,*
2854,J1904-1224,lml+98,0.750808122380,3,hlk+04,7.4236E-16,3,hlk+04
2855,J1904-1629,bbb+12,1.54141204423,2,bsb+19,3.1900E-15,8,bsb+19
,,,,,,,,
2856,J1905+0154A,hrs+07,0.003192940820,10,hrs+07,*,0,*
2857,J1905+0156g,zhx+23,1.0850,10,zhx+23,*,0,*
2858,J1905+0400,hfs+04,0.0037844047882356,3,gsf+11,4.9052E-21,15,gsf+11
2859,J1905+0414,pab+18,*,0,*,*,0,*
2860,J1905+0450g,hww+21,0.78330,0,hww+21,*,0,*
,,,,,,,,
2861,J1905+0558g,zhx+23,0.846,2,zhx+23,*,0,*
2862,J1905+0600,hfs+04,0.441209731966,18,hfs+04,1.1123E-15,10,hfs+04
2863,J1905+0616,lxf+05,0.989706023196,7,lxf+05,1.352320E-13,10,lxf+05
2864,J1905+0656g,hww+21,2.51176254691,2,shw+23,3.87E-16,2,shw+23
2865,B1903+07,cl86,0.64804005430,7,hlk+04,4.9416E-15,6,hlk+04
,,,,,,,,
2866,J1905+0758g,hww+21,1.192648616445,2,shw+23,4.59E-17,2,shw+23
2867,J1905+0902,cfl+06,0.2182543240059,3,shw+23,3.499036E-15,9,shw+23
2868,J1905+0920g,hww+21,0.17047,0,hww+21,*,0,*
2869,J1905+0936g,hww+21,1.634497451794,4,shw+23,1.5008E-15,4,shw+23
2870,J1905+1034,psf+22,1.72681020359,3,psf+22,2.06980E-14,8,psf+22
,,,,,,,,
2871,B1902-01,stwd85,0.64318334838,3,lbs+20,3.05924E-15,5,lbs+20
2872,J1906+0055,lbh+15,0.0027895524236884,2,sab+16,3.320E-21,10,sab+16
2873,J1906+0335g,zhx+23,1.2960,10,zhx+23,*,0,*
2874,J1906+0414,lfl+06,1.043361628655,9,lfl+06,1.1461E-14,9,lfl+06
2875,J1906+0454,pkr+19,0.0020832783349232,3,pkr+19,2.982E-21,14,pkr+19
,,,,,,,,
2876,J1906+0509,lsb+17,0.397589683040,5,lsb+17,5.2152E-15,4,lsb+17
2877,B1904+06,cl86,0.2672750082591,5,hlk+04,2.135599E-15,4,hlk+04
2878,J1906+0646g,hww+21,0.35552,0,hww+21,*,0,*
2879,J1906+0649,hfs+04,1.28656437956,10,hfs+04,1.52E-16,5,hfs+04
2880,J1906+0722,cpw+15,0.1115241364978,13,cpw+15,3.587895E-14,3,cpw+15
,,,,,,,,
2881,J1906+0724,lbh+15,1.5364901376,2,psf+22,2.9990E-15,6,psf+22
2882,J1906+0746,lsf+06,0.14407315538,5,vks+15,2.02678E-14,19,vks+15
2883,J1906+0757g,hww+21,0.057189056787610,10,shw+23,1.160E-19,10,shw+23
2884,J1906+0822g,hww+21,0.43344,0,hww+21,*,0,*
2885,J1906+0912,mhl+02,0.77534458995,5,mhl+02,1.32E-16,19,mhl+02
,,,,,,,,
2886,J1906+1854,nft95,1.019093,0,dmo+24,2.054E-16,19,cn95
2887,J1906-1754,cbb+23,0.002876,0,cbb+23,*,0,*
2888,J1907+0249,hfs+04,0.351879439822,20,hfs+04,1.135E-15,4,hfs+04
2889,J1907+0255,lbh+15,0.61876063644,3,lsb+17,2.230E-16,9,lsb+17
2890,J1907+0345,hfs+04,0.240153263208,5,hfs+04,8.222E-15,3,hfs+04
,,,,,,,,
2891,J1907+0534,mhl+02,1.1384027132,6,mhl+02,3.15E-15,12,mhl+02
2892,J1907+0555g,zhx+23,3.1590,10,zhx+23,*,0,*
2893,J1907+0602,aaa+09c,0.106632746266,5,rkp+11,8.68208E-14,3,rkp+11
2894,J1907+0631,lsb+17,0.323648024490,19,lsb+17,4.521551E-13,12,lsb+17
2895,J1907+0658g,hww+21,0.21834,0,hww+21,*,0,*
,,,,,,,,
2896,J1907+0709g,hww+21,0.34410,0,hww+21,*,0,*
2897,J1907+0731,hfs+04,0.363676330005,12,hfs+04,1.8416E-14,4,hfs+04
2898,J1907+0740,mhl+02,0.574697951954,17,mhl+02,6.71E-16,7,mhl+02
2899,J1907+0833,psf+22,0.167627579462,16,psf+22,3.69542E-15,6,psf+22
2900,J1907+0859,lsb+17,1.52704227084,3,lsb+17,5.5446E-15,12,lsb+17
,,,,,,,,
2901,J1907+0918,lx00,0.2261071099878,6,lx00,9.42955E-14,4,lx00
2902,J1907+0919,ksh+99,5.198346,3,met+06,9.2E-11,4,met+06
2903,J1907+1149,lfl+06,1.42016034143,17,lfl+06,1.5979E-13,3,lfl+06
2904,B1904+12,ht75b,0.82709737059,3,lcx02,1.948E-15,4,lcx02
2905,B1905+39,dth78,1.235757452781,3,hlk+04,5.40707E-16,20,hlk+04
,,,,,,,,
2906,J1907+57,mss+20,0.424,0,mss+20,*,0,*
2907,J1907-1532,bbb+12,0.63223532885,4,bbb+12,3.084E-15,2,bbb+12
2908,J1908+0128,mzl+23,0.0047023242768689,16,mzl+23,5.269E-20,12,mzl+23
2909,J1908+0457,zcwl96,0.8467928462,4,zcwl96,9.8E-16,3,zcwl96
2910,J1908+0500,nft95,0.29102078676,3,cn95,2.5856E-15,18,cn95
,,,,,,,,
2911,J1908+0558,lbh+15,0.168677558616,3,psf+22,2.2796E-15,3,psf+22
2912,J1908+0734,nft95,0.212352673319,2,cn95,8.2459E-16,6,cn95
2913,J1908+0811g,hww+21,0.18164,0,hww+21,*,0,*
2914,J1908+0833,lsb+17,0.512110722994,12,lsb+17,1.9872E-15,7,lsb+17
2915,J1908+0839,mhl+02,0.185397243919,14,mhl+02,2.3865E-15,14,mhl+02
,,,,,,,,
2916,J1908+0909,mhl+02,0.336554651762,16,mhl+02,3.48712E-14,7,mhl+02
2917,J1908+0911g,zhx+23,5.166,7,zhx+23,*,0,*
2918,B1906+09,ht75b,0.83026988471,6,gr78,9.8E-17,14,gr78
2919,J1908+0949g,hww+21,0.00905,0,hww+21,*,0,*
2920,J1908+1035g,hww+21,0.01069,0,hww+21,*,0,*
,,,,,,,,
2921,J1908+1351,psf+22,3.174831829,8,psf+22,3.7E-15,2,psf+22
2922,J1908+2105,cck+16,0.00256439267063484,6,drc+21,1.3835E-20,4,drc+21
2923,J1908+2351,lwf+04,0.377578,0,dmo+24,1.70E-17,10,lwf+04
2924,B1907+00,dls73,1.01694836198,4,hlk+04,5.51856E-15,19,hlk+04
2925,B1907+02,dls72,0.989831207210,5,hlk+04,5.52533E-15,5,hlk+04
,,,,,,,,
2926,J1909+0616,mhl+02,0.75599276085,18,mhl+02,2.058E-14,8,mhl+02
2927,J1909+0641,dcm+09,0.741761952452,6,nab+13,3.2239E-15,7,nab+13
2928,J1909+0657g,hww+21,1.24589,0,hww+21,*,0,*
2929,J1909+0749,nab+13,0.23716129322,9,nab+13,1.51920E-13,9,nab+13
2930,J1909+0905g,hww+21,1.49488,0,hww+21,*,0,*
,,,,,,,,
2931,J1909+0912,mhl+02,0.222949273318,15,mhl+02,3.5805E-14,5,mhl+02
2932,J1909+0930g,hww+21,2.02078,0,hww+21,*,0,*
2933,B1907+10,dls73,0.28364211181,8,lbs+20,2.64029E-15,4,lbs+20
2934,J1909+1132g,hww+21,0.00680,0,hww+21,*,0,*
2935,J1909+1148,lbh+15,0.448945466859,3,lsb+17,7.250E-17,8,lsb+17
,,,,,,,,
2936,J1909+1205,psf+22,1.229312421,2,psf+22,3.40E-15,5,psf+22
2937,J1909+1450,nft95,0.9961077952,4,cn95,2.19E-16,15,cn95
2938,J1909+1859,nft95,0.542451,0,dmo+24,9.7E-17,3,cn95
2939,J1909-3744,jbv+03,0.002947108069766736,8,abb+23,1.402531E-20,7,abb+23
2940,J1910+0225,hfs+04,0.337854845269,11,hfs+04,2.623E-16,14,hfs+04
,,,,,,,,
2941,B1907+03,mb75,2.33026282052,7,hlk+04,4.4711E-15,5,hlk+04
2942,J1910+0435,psf+22,0.664679416494,9,psf+22,1.72366E-14,3,psf+22
2943,J1910+0517,lsf+17,0.308047946620,12,lsf+17,7.305E-16,8,lsf+17
2944,J1910+0534,mhl+02,0.45286735393,9,mhl+02,1.92E-15,4,mhl+02
2945,J1910+0710,psf+22,0.53864678794,3,psf+22,2.05E-16,2,psf+22
,,,,,,,,
2946,J1910+0714,nft95,2.7124228384,3,cn95,6.122E-15,15,cn95
2947,J1910+0728,hfs+04,0.325415321974,3,hfs+04,8.3062E-15,3,hfs+04
2948,J1910+1017,psf+22,0.411158865683,4,psf+22,5.41520E-15,7,psf+22
2949,J1910+1026,lbh+15,0.53149303397,2,psf+22,2.57067E-13,4,psf+22
2950,J1910+1054g,hww+21,0.00387,0,hww+21,*,0,*
,,,,,,,,
2951,J1910+1117g,hww+21,1.32152,0,hww+21,*,0,*
2952,B1907+12,ht75b,1.441741592612,15,hlk+04,8.22973E-15,7,hlk+04
2953,J1910+1256,fsk+04,0.00498358401867271,18,abb+23,9.6784E-21,8,abb+23
2954,J1910+56,scb+19,0.3419,0,scb+19,*,0,*
2955,J1910-0112,lfl+06,1.3606029280,8,lfl+06,1.8E-16,6,lfl+06
,,,,,,,,
2956,B1907-03,mlt+78,0.504606055410,11,lbs+20,2.192807E-15,3,lbs+20
2957,J1910-0556,sfj+20,0.55760924800,4,sfj+20,5.961E-16,5,sfj+20
2958,J1910-5320,dbc+24,0.0023323668555057,17,dbc+24,3.70E-20,4,dbc+24
2959,J1910-5959A,dlm+01,0.0032661866233478,8,cvf+23,-2.9238E-21,8,cvf+23
2960,J1910-5959B,dpf+02,0.008357798500844,2,cpl+06,-7.9041E-19,5,cpl+06
,,,,,,,,
2961,J1910-5959C,dpf+02,0.0052773269323093,15,cpl+06,2.16E-21,2,cpl+06
2962,J1910-5959D,dpf+02,0.009035285247765,4,cpl+06,9.6431E-19,6,cpl+06
2963,J1910-5959E,dpf+02,0.004571765939750,2,cpl+06,-4.3435E-19,3,cpl+06
2964,J1910-5959F,rgf+21,0.008485493936967,15,rgf+21,7.4122E-19,7,rgf+21
2965,J1911+00,mll+06,6.940,10,kkl+11,*,0,*
,,,,,,,,
2966,B1908+00A,dma+93,0.003618524251059,2,fhn+05,-6.58E-21,2,fhn+05
2967,J1911+0101B,fhn+05,0.005384325706188,9,fhn+05,-2.0E-21,3,fhn+05
2968,J1911+0310g,zhx+23,1.333,5,zhx+23,*,0,*
2969,J1911+0751g,hww+21,0.79691,0,hww+21,*,0,*
2970,J1911+0921,lbh+15,0.273706758194,2,psf+22,1.751E-17,18,psf+22
,,,,,,,,
2971,J1911+0925,psf+22,0.323857547341,5,psf+22,3.5480E-15,7,psf+22
2972,J1911+0939g,hww+21,0.36547,0,hww+21,*,0,*
2973,J1911+1017g,zhx+23,1.3370,10,zhx+23,*,0,*
2974,J1911+1051,lbh+15,0.190872844929,12,psf+22,1.216555E-14,16,psf+22
2975,J1911+1252g,hww+21,0.02724,0,hww+21,*,0,*
,,,,,,,,
2976,J1911+1301,psf+22,1.01046173336,9,psf+22,1.8899E-15,6,psf+22
2977,J1911+1336,psf+22,0.2999920409760,10,psf+22,1.5860E-16,7,psf+22
2978,J1911+1347,fsk+04,0.00462596253977519,5,abb+23,1.69240E-20,3,abb+23
2979,J1911+1758,nft95,0.46040581878,14,cn95,1.31E-17,5,cn95
2980,J1911-1114,llb+96,0.003625745633114,5,dcl+16,1.395E-20,4,dcl+16
,,,,,,,,
2981,J1912+0934g,hww+21,0.89747,0,hww+21,*,0,*
2982,J1912+1000g,zhx+23,3.053,4,zhx+23,*,0,*
2983,B1910+10,ht75b,0.409349485862,6,lcx02,1.57620E-14,8,lcx02
2984,J1912+1105g,hww+21,0.67071,0,hww+21,*,0,*
2985,J1912+1417g,hww+21,0.00317,0,hww+21,*,0,*
,,,,,,,,
2986,B1910+20,dls73,2.232969028273,8,hlk+04,1.017751E-14,4,hlk+04
2987,J1912+2525,nft95,0.621976,0,dmo+24,2.25E-16,4,cn95
2988,J1912-0952,mzl+23,0.02506804825974,3,mzl+23,2.86E-20,9,mzl+23
2989,J1913+0446,kbm+03,1.61612987171,16,kbm+03,2.78904E-13,16,kbm+03
2990,J1913+0523,psf+22,0.661997424287,7,psf+22,1.7969E-15,3,psf+22
,,,,,,,,
2991,J1913+0618,lbh+15,0.0050268612317532,8,pkr+19,9.61E-21,3,pkr+19
2992,J1913+0657,lsb+17,1.25718110369,7,lsb+17,2.829E-15,7,lsb+17
2993,J1913+0832,mhl+02,0.134409003575,11,mhl+02,4.5696E-15,8,mhl+02
2994,J1913+0904,lfl+06,0.16325053678620,6,saa+23,1.76202755E-14,6,saa+23
2995,B1911+09,ht75b,1.24196459936,3,lcx02,4.32E-16,4,lcx02
,,,,,,,,
2996,J1913+1000,hfs+04,0.83714819649,5,hfs+04,1.6737E-14,6,hfs+04
2997,J1913+1011,mhl+02,0.035909978882125,16,saa+23,3.38144637E-15,17,saa+23
2998,J1913+1037g,hww+21,0.43421,0,hww+21,*,0,*
2999,J1913+1050,lsb+17,0.190067107649,3,lsb+17,1.9546E-16,12,lsb+17
3000,J1913+1054g,hww+21,0.45062,0,hww+21,*,0,*
,,,,,,,,
3001,J1913+1102,lfa+16,0.027285006852515,15,lfa+16,1.61E-19,3,lfa+16
3002,J1913+11025,lbh+15,0.923871917718,11,psf+22,3.404E-16,17,psf+22
3003,J1913+1145,mhl+02,0.30606864497,3,mhl+02,5.016E-15,11,mhl+02
3004,J1913+1330,mll+06,0.9233913866507,3,bls+18,8.67761E-15,18,bls+18
3005,B1911+13,ht74,0.5214727140817,17,hlk+04,8.03532E-16,14,hlk+04
,,,,,,,,
3006,J1913+3732,bck+13,0.851079006454,5,flm+23,1.37776E-15,15,flm+23
3007,B1911-04,lvw69b,0.825935803096,9,hlk+04,4.06801E-15,3,hlk+04
3008,J1914+0219,lfl+06,0.457526573507,11,lfl+06,1.0181E-15,4,lfl+06
3009,J1914+0625,psf+22,0.878889431192,9,psf+22,4.531E-16,11,psf+22
3010,J1914+0631,hfs+04,0.69381120574,5,hfs+04,3.3E-17,13,hfs+04
,,,,,,,,
3011,J1914+0659,lbh+15,0.01851182255144,3,sab+16,3.1E-20,3,sab+16
3012,J1914+0805,hww+21,0.455499390131,6,psf+22,3.02E-17,7,psf+22
3013,J1914+0838,kbj+18,0.440039882669,4,psf+22,5.86395E-16,4,psf+22
3014,J1914+1029g,hww+21,2.48499,0,hww+21,*,0,*
3015,J1914+1054g,hww+21,0.13887,0,hww+21,*,0,*
,,,,,,,,
3016,B1911+11,ht75b,0.60099749634,9,gr78,6.555E-16,14,gr78
3017,J1914+1228g,hww+21,2.27755,0,hww+21,*,0,*
3018,J1914+1428,psf+22,1.15951978505,6,psf+22,2.1814E-15,6,psf+22
3019,J1914+2636,crafts23,0.4591143100176,11,wyw+23,5.9E-18,5,wyw+23
3020,J1915+0227,lfl+06,0.3173062332319,16,lfl+06,2.9898E-16,15,lfl+06
,,,,,,,,
3021,J1915+0639,psf+22,0.64414015325,3,psf+22,1.8435E-15,4,psf+22
3022,J1915+0738,nft95,1.54270444942,10,cn95,3.306E-15,3,cn95
3023,J1915+0752,rtj+96,2.05831378861,7,clm+05,1.39E-16,9,clm+05
3024,J1915+0832g,hww+21,2.71009,0,hww+21,*,0,*
3025,J1915+0838,hfs+04,0.34277679653,4,hfs+04,1.571E-15,4,hfs+04
,,,,,,,,
3026,B1913+10,ht75b,0.4045517674400,15,jbv+19,1.525768E-14,14,jbv+19
3027,J1915+1045g,zhx+23,1.546,2,zhx+23,*,0,*
3028,J1915+1145,lbh+15,0.173647195715,2,psf+22,1.531E-17,3,psf+22
3029,J1915+1150,lbh+15,0.10004095461,3,psf+22,1.36710E-14,10,psf+22
3030,J1915+1410,lfl+06,0.297494121670,7,lfl+06,4.89E-17,8,lfl+06
,,,,,,,,
3031,B1913+16,ht75a,0.059030003217813,11,wh16,8.6183E-18,4,wh16
3032,B1913+167,ht75b,1.616231495126,8,hlk+04,4.0550E-16,5,hlk+04
3033,J1915-11,kkl+15,2.1770,2,kkl+15,*,0,*
3034,J1916+0741g,hww+21,0.01122,0,hww+21,*,0,*
3035,J1916+0748,rtj+96,0.54175211381,17,clm+05,1.0708E-14,17,clm+05
,,,,,,,,
3036,J1916+0748g,hww+21,0.867880485703,5,shw+23,1.981E-16,6,shw+23
3037,J1916+0844,hfs+04,0.439995272067,8,hfs+04,2.9009E-15,4,hfs+04
3038,J1916+0852,hfs+04,2.1827459895,6,hfs+04,1.31E-14,3,hfs+04
3039,J1916+0937g,zhx+23,7.3680,10,zhx+23,*,0,*
3040,B1914+09,ht74,0.2702544395645,8,hlk+04,2.518463E-15,6,hlk+04
,,,,,,,,
3041,J1916+1023,hfs+04,1.6183389208,8,hfs+04,6.8E-16,14,hfs+04
3042,B1913+105,wol91b,0.62896972129,6,wol91b,3.4E-17,2,wol91b
3043,J1916+1030g,hww+21,0.34938,0,hww+21,*,0,*
3044,J1916+1142Ag,zhx+23,*,0,*,*,0,*
3045,J1916+1142Bg,zhx+23,1.188,3,zhx+23,*,0,*
,,,,,,,,
3046,J1916+1225,nab+13,0.227387488792,2,nab+13,2.34516E-14,2,nab+13
3047,B1914+13,ht74,0.28184495081,16,lbs+20,3.6596E-15,4,lbs+20
3048,J1916+3224,scb+19,1.13745,0,dmo+24,3.4696E-15,6,tbc+20
3049,J1916+38,ttk+24,0.514,2,ttk+24,*,0,*
3050,J1916-2939,acd+19,1.248616964290,3,acd+19,1.2441E-15,4,acd+19
,,,,,,,,
3051,J1917+0743g,hww+21,0.8134532288005,8,shw+23,4.485E-17,8,shw+23
3052,J1917+0834,nic99,2.129665364024,4,clm+05,1.74935E-14,2,clm+05
3053,J1917+0834g,zhx+23,2.933,3,zhx+23,*,0,*
3054,J1917+1046g,hww+21,0.08773,0,hww+21,*,0,*
3055,J1917+1121g,hww+21,0.51031,0,hww+21,*,0,*
,,,,,,,,
3056,J1917+1259g,hww+21,0.00563,0,hww+21,*,0,*
3057,B1915+13,smb71,0.194630982798,4,hlk+04,7.19782E-15,3,hlk+04
3058,J1917+1411g,hww+21,0.44646,0,hww+21,*,0,*
3059,J1917+17,tkt22,0.4196,0,tkt22,*,0,*
3060,J1917+1737,nab+13,0.334725226760,4,nab+13,3.240E-16,10,nab+13
,,,,,,,,
3061,B1915+22,sstd86,0.425897254225,11,hlk+04,2.86494E-15,6,hlk+04
3062,J1918+0342g,zhx+23,*,0,*,*,0,*
3063,J1918+1311,lbh+15,0.856748867762,6,psf+22,2.2579E-15,6,psf+22
3064,J1918+1340g,hww+21,0.23299,0,hww+21,*,0,*
3065,B1916+14,ht74,1.18102329730,9,hlk+04,2.123644E-13,9,hlk+04
,,,,,,,,
3066,J1918+1514g,zhx+23,*,0,*,*,0,*
3067,J1918+1536g,hww+21,0.10995,0,hww+21,*,0,*
3068,J1918+1540g,hww+21,0.00428,0,hww+21,*,0,*
3069,J1918+1541,nft95,0.37088299877,19,cn95,2.543E-15,13,cn95
3070,J1918+1547g,hww+21,0.00376,0,hww+21,*,0,*
,,,,,,,,
3071,J1918+26,ttk+24,0.723,3,ttk+24,*,0,*
3072,J1918-0642,eb01b,0.00764587288746039,6,abb+23,2.5691E-20,4,abb+23
3073,J1918-1052,lbr+13,0.798692542358,15,lbr+13,8.653E-16,15,lbr+13
3074,B1917+00,dls72,1.27226037471,3,hlk+04,7.66978E-15,17,hlk+04
3075,J1919+0134,ebvb01,1.60398355528,6,ebvb01,5.89E-16,11,ebvb01
,,,,,,,,
3076,J1919+1113g,zhx+23,0.766,5,zhx+23,*,0,*
3077,J1919+1314,nab+13,0.571399860595,2,nab+13,3.78771E-15,6,nab+13
3078,J1919+1527g,hww+21,1.37146,0,hww+21,*,0,*
3079,J1919+1645,lcm13,0.562789986697,3,lcm13,2.161E-16,4,lcm13
3080,J1919+1745,dcm+09,2.081343459724,9,nab+13,1.7050E-15,4,nab+13
,,,,,,,,
3081,J1919+23,aab+22,0.00463,0,aab+22,*,0,*
3082,J1919+2621,clh+20,0.65151209407,3,clh+20,5.46E-16,3,clh+20
3083,J1920+1040,hfs+04,2.21580173889,20,hfs+04,6.48E-15,3,hfs+04
3084,J1920+1110,mhl+02,0.50988582045,5,mhl+02,1.56E-16,19,mhl+02
3085,J1920+1515g,hww+21,1.60276,0,hww+21,*,0,*
,,,,,,,,
3086,B1918+26,dtws85,0.785521849527,4,hlk+04,3.436E-17,4,hlk+04
3087,J1920-0950,bbb+12,1.037824001161,19,bsb+19,3.928E-16,7,bsb+19
