# filename mjd_start mjd_end
FRB20201124A_3_tracking-M01_0057.fits 59347.26461931726222222222 59347.26491757888000000000
FRB20201124A_3_tracking-M01_0058.fits 59347.26491757888000000000 59347.26521584049777777777
FRB20201124A_3_tracking-M01_0059.fits 59347.26521584049777777777 59347.26551410211555555555
FRB20201124A_3_tracking-M01_0060.fits 59347.26551410211555555555 59347.26581236373333333333
FRB20201124A_3_tracking-M01_0061.fits 59347.26581236373333333333 59347.26611062535111111111
FRB20201124A_3_tracking-M01_0062.fits 59347.26611062535111111111 59347.26640888696888888888
FRB20201124A_3_tracking-M01_0063.fits 59347.26640888696888888888 59347.26670714858666666666
FRB20201124A_3_tracking-M01_0064.fits 59347.26670714858666666666 59347.26700541020444444444
FRB20201124A_3_tracking-M01_0065.fits 59347.26700541020444444444 59347.26730367182222222222
FRB20201124A_3_tracking-M01_0066.fits 59347.26730367182222222222 59347.26760193344000000000
FRB20201124A_3_tracking-M01_0067.fits 59347.26760193344000000000 59347.26790019505777777777
FRB20201124A_3_tracking-M01_0068.fits 59347.26790019505777777777 59347.26819845667555555555
FRB20201124A_3_tracking-M01_0069.fits 59347.26819845667555555555 59347.26849671829333333333
FRB20201124A_3_tracking-M01_0070.fits 59347.26849671829333333333 59347.26876002737777777777
FRB20201124A_4_tracking-M01_0001.fits 59347.28958333333333333333 59347.28988159495111111111
FRB20201124A_4_tracking-M01_0002.fits 59347.28988159495111111111 59347.29017985656888888888
FRB20201124A_4_tracking-M01_0003.fits 59347.29017985656888888888 59347.29047811818666666666
FRB20201124A_4_tracking-M01_0004.fits 59347.29047811818666666666 59347.29077637980444444444
FRB20201124A_4_tracking-M01_0005.fits 59347.29077637980444444444 59347.29107464142222222222
FRB20201124A_4_tracking-M01_0006.fits 59347.29107464142222222222 59347.29137290304000000000
FRB20201124A_4_tracking-M01_0007.fits 59347.29137290304000000000 59347.29167116465777777777
FRB20201124A_4_tracking-M01_0008.fits 59347.29167116465777777777 59347.29196942627555555555
FRB20201124A_4_tracking-M01_0009.fits 59347.29196942627555555555 59347.29226768789333333333
FRB20201124A_4_tracking-M01_0010.fits 59347.29226768789333333333 59347.29256594951111111111
FRB20201124A_4_tracking-M01_0011.fits 59347.29256594951111111111 59347.29286421112888888888
FRB20201124A_4_tracking-M01_0012.fits 59347.29286421112888888888 59347.29316247274666666666
FRB20201124A_4_tracking-M01_0013.fits 59347.29316247274666666666 59347.29346073436444444444
FRB20201124A_4_tracking-M01_0014.fits 59347.29346073436444444444 59347.29375899598222222222
FRB20201124A_4_tracking-M01_0015.fits 59347.29375899598222222222 59347.29405725760000000000
FRB20201124A_4_tracking-M01_0016.fits 59347.29405725760000000000 59347.29435551921777777777
FRB20201124A_4_tracking-M01_0017.fits 59347.29435551921777777777 59347.29465378083555555555
FRB20201124A_4_tracking-M01_0018.fits 59347.29465378083555555555 59347.29495204245333333333
FRB20201124A_4_tracking-M01_0019.fits 59347.29495204245333333333 59347.29525030407111111111
FRB20201124A_4_tracking-M01_0020.fits 59347.29525030407111111111 59347.29554856568888888888
FRB20201124A_4_tracking-M01_0021.fits 59347.29554856568888888888 59347.29584682730666666666
FRB20201124A_4_tracking-M01_0022.fits 59347.29584682730666666666 59347.29614508892444444444
FRB20201124A_4_tracking-M01_0023.fits 59347.29614508892444444444 59347.29644335054222222222
FRB20201124A_4_tracking-M01_0024.fits 59347.29644335054222222222 59347.29674161216000000000
FRB20201124A_4_tracking-M01_0025.fits 59347.29674161216000000000 59347.29703987377777777777
FRB20201124A_4_tracking-M01_0026.fits 59347.29703987377777777777 59347.29733813539555555555
FRB20201124A_4_tracking-M01_0027.fits 59347.29733813539555555555 59347.29763639701333333333
FRB20201124A_4_tracking-M01_0028.fits 59347.29763639701333333333 59347.29793465863111111111
FRB20201124A_4_tracking-M01_0029.fits 59347.29793465863111111111 59347.29823292024888888888
FRB20201124A_4_tracking-M01_0030.fits 59347.29823292024888888888 59347.29853118186666666666
FRB20201124A_4_tracking-M01_0031.fits 59347.29853118186666666666 59347.29882944348444444444
FRB20201124A_4_tracking-M01_0032.fits 59347.29882944348444444444 59347.29912770510222222222
FRB20201124A_4_tracking-M01_0033.fits 59347.29912770510222222222 59347.29942596672000000000
FRB20201124A_4_tracking-M01_0034.fits 59347.29942596672000000000 59347.29972422833777777777
FRB20201124A_4_tracking-M01_0035.fits 59347.29972422833777777777 59347.30002248995555555555
FRB20201124A_4_tracking-M01_0036.fits 59347.30002248995555555555 59347.30032075157333333333
FRB20201124A_4_tracking-M01_0037.fits 59347.30032075157333333333 59347.30061901319111111111
FRB20201124A_4_tracking-M01_0038.fits 59347.30061901319111111111 59347.30091727480888888888
FRB20201124A_4_tracking-M01_0039.fits 59347.30091727480888888888 59347.30121553642666666666
FRB20201124A_4_tracking-M01_0040.fits 59347.30121553642666666666 59347.30151379804444444444
