# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0165.fits 59311.33928891151407407407 59311.33936347691851851851
FRB20201124A_tracking-M01_0166.fits 59311.33936347691851851851 59311.33943804232296296296
FRB20201124A_tracking-M01_0167.fits 59311.33943804232296296296 59311.33951260772740740740
FRB20201124A_tracking-M01_0168.fits 59311.33951260772740740740 59311.33958717313185185185
FRB20201124A_tracking-M01_0169.fits 59311.33958717313185185185 59311.33966173853629629629
FRB20201124A_tracking-M01_0170.fits 59311.33966173853629629629 59311.33973630394074074074
FRB20201124A_tracking-M01_0171.fits 59311.33973630394074074074 59311.33981086934518518518
FRB20201124A_tracking-M01_0172.fits 59311.33981086934518518518 59311.33988543474962962962
FRB20201124A_tracking-M01_0173.fits 59311.33988543474962962962 59311.33996000015407407407
FRB20201124A_tracking-M01_0174.fits 59311.33996000015407407407 59311.34003456555851851851
FRB20201124A_tracking-M01_0175.fits 59311.34003456555851851851 59311.34010913096296296296
FRB20201124A_tracking-M01_0176.fits 59311.34010913096296296296 59311.34018369636740740740
FRB20201124A_tracking-M01_0177.fits 59311.34018369636740740740 59311.34025826177185185185
FRB20201124A_tracking-M01_0178.fits 59311.34025826177185185185 59311.34033282717629629629
FRB20201124A_tracking-M01_0179.fits 59311.34033282717629629629 59311.34040739258074074074
FRB20201124A_tracking-M01_0180.fits 59311.34040739258074074074 59311.34048195798518518518
FRB20201124A_tracking-M01_0181.fits 59311.34048195798518518518 59311.34055652338962962962
FRB20201124A_tracking-M01_0182.fits 59311.34055652338962962962 59311.34063108879407407407
FRB20201124A_tracking-M01_0183.fits 59311.34063108879407407407 59311.34070565419851851851
FRB20201124A_tracking-M01_0184.fits 59311.34070565419851851851 59311.34078021960296296296
FRB20201124A_tracking-M01_0185.fits 59311.34078021960296296296 59311.34085478500740740740
FRB20201124A_tracking-M01_0186.fits 59311.34085478500740740740 59311.34092935041185185185
FRB20201124A_tracking-M01_0187.fits 59311.34092935041185185185 59311.34100391581629629629
FRB20201124A_tracking-M01_0188.fits 59311.34100391581629629629 59311.34107848122074074074
FRB20201124A_tracking-M01_0189.fits 59311.34107848122074074074 59311.34115304662518518518
FRB20201124A_tracking-M01_0190.fits 59311.34115304662518518518 59311.34122761202962962962
FRB20201124A_tracking-M01_0191.fits 59311.34122761202962962962 59311.34130217743407407407
FRB20201124A_tracking-M01_0192.fits 59311.34130217743407407407 59311.34137674283851851851
FRB20201124A_tracking-M01_0193.fits 59311.34137674283851851851 59311.34145130824296296296
FRB20201124A_tracking-M01_0194.fits 59311.34145130824296296296 59311.34152587364740740740
FRB20201124A_tracking-M01_0195.fits 59311.34152587364740740740 59311.34160043905185185185
FRB20201124A_tracking-M01_0196.fits 59311.34160043905185185185 59311.34167500445629629629
FRB20201124A_tracking-M01_0197.fits 59311.34167500445629629629 59311.34174956986074074074
FRB20201124A_tracking-M01_0198.fits 59311.34174956986074074074 59311.34182413526518518518
