BurstID,  ObsDate,             MJD,        DM,     Width,        PeakFlux,        PeakFlux_error,          Fluence,          Fluence_error,       Energy_c,       Energy_w, BandWidth,        Width,         PeakFlux,         PeakFlux_error,         Fluence,         Fluence_error,       Energy_w
       ,         ,     Barycentric,          , Full Band,       Full Band,       Full Band,        Full Band,        Full Band,      Full Band,      Full Band,          , Limited Band,     Limited Band,     Limited Band,    Limited Band,    Limited Band,   Limited Band
       ,         ,                , (pc/cm^3),      (ms),           (mJy),           (mJy),          (Jy ms),          (Jy ms),          (erg),          (erg),     (MHz),         (ms),            (mJy),            (mJy),         (Jy ms),         (Jy ms),          (erg)
85,20210927,59483.89222013100000000000 ,412.18,10.89,78.68,0.56,0.857,0.006,  2.399(17)e+38,  9.595(67)e+37,300,7.94,189.69,1.39,1.507,0.01,   1.111(7)e+38
86,20210927,59483.89280816000000000000 ,412.18,5.79,80.98,0.09,0.469,0.001,   1.313(6)e+38,  5.251(22)e+37,400,4.83,114.35,0.35,0.553,0.003,  5.435(34)e+37
87,20210927,59483.89280867500000000000 ,412.18,4.86,8.64,0.11,0.042,0.001,   1.176(1)e+37,   4.702(1)e+36,100,4.75,22.42,0.16,0.107,0.001,  2.620(22)e+36
88,20210927,59483.89464059900000000000 ,412.18,5.73,12.56,0.27,0.072,0.002,   2.015(1)e+37,   8.061(1)e+36,150,2.25,32.38,0.74,0.073,0.001,   2.687(1)e+36
89,20210927,59483.89507809000000000000 ,412.18,2.84,9.49,0.95,0.027,0.003,   7.557(1)e+36,   3.023(1)e+36,250,3.58,10.68,1.36,0.038,0.001,   2.351(1)e+36
90,20210927,59483.89565819900000000000 ,412.18,4.9,279.21,1.54,1.368,0.008,  3.829(22)e+38,   1.532(9)e+38,500,4.44,279.13,1.54,1.24,0.007,   1.525(9)e+38
91,20210927,59483.89570004600000000000 ,412.18,4.55,23.06,0.67,0.105,0.003,  2.939(28)e+37,  1.176(11)e+37,100,3.47,97.56,1.64,0.339,0.003,  8.330(67)e+36
92,20210927,59483.89588180300000000000 ,412.18,5.06,22.54,0.08,0.114,0.001,  3.191(28)e+37,  1.276(11)e+37,150,4.85,57.24,0.2,0.278,0.002,   1.024(7)e+37
93,20210927,59483.89604210100000000000 ,412.18,2.71,14.05,0.06,0.038,0.001,   1.064(1)e+37,   4.254(1)e+36,200,2.71,31.27,0.19,0.085,0.001,  4.165(45)e+36
94,20210927,59483.89626566100000000000 ,412.18,8.68,30.19,0.12,0.262,0.001,  7.333(56)e+37,  2.933(22)e+37,150,8.12,75.13,0.36,0.61,0.004,  2.250(13)e+37
95,20210927,59483.89663367200000000000 ,412.18,5.31,10.36,0.75,0.055,0.004,   1.539(1)e+37,   6.158(1)e+36,100,5.28,34.47,1.8,0.182,0.001,  4.478(22)e+36
96,20210927,59483.89676439000000000000 ,412.18,4.79,9.18,0.65,0.044,0.003,   1.232(1)e+37,   4.926(1)e+36,250,5.03,16.87,1.64,0.085,0.001,   5.217(1)e+36
97,20210927,59483.89767360100000000000 ,412.18,4.7,10.86,1.21,0.051,0.006,   1.428(1)e+37,   5.710(1)e+36,200,4.16,23.87,2,0.099,0.001,  4.882(45)e+36
98,20210927,59483.89823647800000000000 ,412.18,4.04,52.54,0.36,0.212,0.001,  5.934(28)e+37,  2.374(11)e+37,300,3.58,84.11,0.56,0.301,0.002,  2.224(13)e+37
99,20210927,59483.89880448200000000000 ,412.18,3.7,10.54,0.58,0.039,0.002,   1.092(1)e+37,   4.366(1)e+36,200,2.35,29.48,1.09,0.069,0.001,   3.404(1)e+36
100,20210927,59483.89929745900000000000 ,412.18,4.73,20.74,0.18,0.098,0.001,  2.743(28)e+37,  1.097(11)e+37,250,5.01,43.27,0.32,0.217,0.001,   1.332(6)e+37
101,20210927,59483.89953677200000000000 ,412.18,5.23,10.71,0.42,0.056,0.002,   1.567(1)e+37,   6.270(1)e+36,100,5.53,29.98,1,0.166,0.001,  4.075(22)e+36
102,20210927,59483.90142044900000000000 ,412.18,14.94,159.46,0.12,2.382,0.002,  6.667(36)e+38,  2.667(15)e+38,300,11.52,507.65,0.61,5.851,0.031,  4.315(23)e+38
103,20210927,59483.90156671000000000000 ,412.18,1.94,6.19,0.37,0.012,0.001,   3.359(1)e+36,   1.344(1)e+36,50,4.51,36.35,1.02,0.164,0.001,  2.015(11)e+36
104,20210927,59483.90202391100000000000 ,412.18,6.29,10.01,0.08,0.063,0.001,   1.763(1)e+37,   7.054(1)e+36,100,8.52,25.97,0.25,0.221,0.002,  5.441(45)e+36
105,20210927,59483.90234767800000000000 ,412.18,7.2,177.62,0.07,1.279,0.001,  3.580(20)e+38,   1.432(8)e+38,350,6.58,314.84,0.2,2.07,0.011,   1.781(9)e+38
106,20210927,59483.90244544400000000000 ,412.18,5.5,114.38,0.05,0.629,0.001,   1.760(8)e+38,  7.042(34)e+37,350,4.8,200.03,0.12,0.96,0.005,  8.265(40)e+37
107,20210927,59483.90244609000000000000 ,412.18,8.1,9.13,0.06,0.074,0.001,   2.071(1)e+37,   8.285(1)e+36,100,7.83,28.63,0.23,0.224,0.002,  5.508(45)e+36
108,20210928,59484.81506481300000000000 ,411.51,2.79,12.88,0.31,0.036,0.001,   1.008(1)e+37,   4.031(1)e+36,300,2.18,18.38,0.47,0.04,0.001,   2.956(1)e+36
109,20210928,59484.81506687400000000000 ,411.51,6.97,13.2,0.48,0.092,0.003,  2.575(28)e+37,  1.030(11)e+37,200,6.39,31.52,1.16,0.201,0.002,  9.897(90)e+36
110,20210928,59484.81508322200000000000 ,411.51,5.33,6.38,0.49,0.034,0.003,   9.517(1)e+36,   3.807(1)e+36,100,5.15,19.82,0.68,0.102,0.002,  2.508(45)e+36
111,20210928,59484.81519261400000000000 ,411.51,2.04,10.79,0.25,0.022,0.001,   6.158(1)e+36,   2.463(1)e+36,100,2.58,56.11,0.32,0.145,0.003,  3.560(67)e+36
112,20210928,59484.81553922500000000000 ,411.51,5.29,8.12,0.05,0.043,0.001,   1.204(1)e+37,   4.814(1)e+36,200,3.58,20.11,0.17,0.072,0.001,  3.538(45)e+36
113,20210928,59484.81563310300000000000 ,411.51,10.61,65.59,0.07,0.696,0.001,  1.948(20)e+38,  7.792(78)e+37,250,8.35,149.99,0.2,1.253,0.011,  7.701(71)e+37
114,20210928,59484.81571797300000000000 ,411.51,6.33,109.44,0.06,0.693,0.001,  1.940(20)e+38,  7.759(78)e+37,500,5.67,109.47,0.06,0.621,0.006,  7.636(73)e+37
115,20210928,59484.81607946700000000000 ,411.51,10,41.4,1.59,0.414,0.016,  1.159(14)e+38,  4.635(56)e+37,250,8.37,83.38,1.59,0.698,0.007,  4.288(45)e+37
